annee,code_departement,[president_sortant]tour,[president_sortant]famille_politique,[president_sortant]pourcentage
2007,73,t2,droite,58.78
2007,73,t2,gauche,41.22
2007,74,t1,centre,21.14
2007,74,t1,droite,57.65
2007,74,t1,gauche,21.22
2007,74,t2,droite,65.92
2007,74,t2,gauche,34.08
2007,75,t1,centre,12.62
2007,75,t1,droite,47.23
2007,75,t1,gauche,40.15
2007,75,t2,droite,49.11
2007,75,t2,gauche,50.89
2007,76,t1,centre,16.42
2007,76,t1,droite,47.53
2007,76,t1,gauche,36.05
2007,76,t2,droite,51.55
2007,76,t2,gauche,48.45
2007,77,t1,centre,17.12
2007,77,t1,droite,50.97
2007,77,t1,gauche,31.9
2007,77,t2,droite,56.25
2007,77,t2,gauche,43.75
2007,78,t1,centre,18.6
2007,78,t1,droite,54.62
2007,78,t1,gauche,26.79
2007,78,t2,droite,62.41
2007,78,t2,gauche,37.59
2007,79,t1,centre,17.88
2007,79,t1,droite,34.65
2007,79,t1,gauche,47.47
2007,79,t2,droite,44.14
2007,79,t2,gauche,55.86
2007,80,t1,centre,14.01
2007,80,t1,droite,45.62
2007,80,t1,gauche,40.37
2007,80,t2,droite,46.61
2007,80,t2,gauche,53.39
2007,81,t1,centre,17.98
2007,81,t1,droite,42.96
2007,81,t1,gauche,39.06
2007,81,t2,droite,47.76
2007,81,t2,gauche,52.24
2007,82,t1,centre,17.88
2007,82,t1,droite,47.29
2007,82,t1,gauche,34.83
2007,82,t2,droite,53.64
2007,82,t2,gauche,46.36
2007,83,t1,centre,11.06
2007,83,t1,droite,69.75
2007,83,t1,gauche,19.19
2007,83,t2,droite,72.43
2007,83,t2,gauche,27.57
2007,84,t1,centre,13.45
2007,84,t1,droite,59.86
2007,84,t1,gauche,26.69
2007,84,t2,droite,64.2
2007,84,t2,gauche,35.8
2007,85,t1,centre,21.96
2007,85,t1,droite,50.98
2007,85,t1,gauche,27.06
2007,85,t2,droite,58.58
2007,85,t2,gauche,41.42
2007,86,t1,centre,18.23
2007,86,t1,droite,41.18
2007,86,t1,gauche,40.59
2007,86,t2,droite,46.49
2007,86,t2,gauche,53.51
2007,87,t1,centre,17.23
2007,87,t1,droite,38.09
2007,87,t1,gauche,44.68
2007,87,t2,droite,43.0
2007,87,t2,gauche,57.0
2007,88,t1,centre,17.51
2007,88,t1,droite,51.54
2007,88,t1,gauche,30.95
2007,88,t2,droite,54.18
2007,88,t2,gauche,45.82
2007,89,t1,centre,17.16
2007,89,t1,droite,54.82
2007,89,t1,gauche,28.01
2007,89,t2,droite,60.11
2007,89,t2,gauche,39.89
2007,90,t1,centre,15.86
2007,90,t1,droite,50.78
2007,90,t1,gauche,33.36
2007,90,t2,droite,55.98
2007,90,t2,gauche,44.02
2007,91,t1,centre,19.21
2007,91,t1,droite,45.45
2007,91,t1,gauche,35.34
2007,91,t2,droite,52.3
2007,91,t2,gauche,47.7
2007,92,t1,centre,14.21
2007,92,t1,droite,56.48
2007,92,t1,gauche,29.31
2007,92,t2,droite,55.97
2007,92,t2,gauche,44.03
2007,93,t1,centre,12.85
2007,93,t1,droite,37.18
2007,93,t1,gauche,49.97
2007,93,t2,droite,42.64
2007,93,t2,gauche,57.36
2007,94,t1,centre,16.0
2007,94,t1,droite,48.47
2007,94,t1,gauche,35.53
2007,94,t2,droite,52.92
2007,94,t2,gauche,47.08
2007,95,t1,centre,16.57
2007,95,t1,droite,47.44
2007,95,t1,gauche,35.99
2007,95,t2,droite,53.31
2007,95,t2,gauche,46.69
2007,971,t1,centre,5.03
2007,971,t1,droite,53.01
2007,971,t1,gauche,41.96
2007,971,t2,droite,51.24
2007,971,t2,gauche,48.76
